YearMonth,In-Out,CompanyCode,TotalOrder,DetailContract,SVTTotal,SVTForeigner,OrderTotal,DetailOrderForeigner
2019-02-01,0,64,200,0,2,0,5,3
2019-02-01,0,28,121,0,28,28,0,0
2019-02-01,0,29,13,0,3,1,0,0
2019-02-01,0,13,100,0,27,0,5,0
2019-02-01,0,14,200,0,14,0,0,0
2019-02-01,0,15,140,0,8,0,5,0
2019-02-01,0,38,28,0,22,11,1,0
2019-02-01,0,34,50,0,17,1,1,0
2019-02-01,0,36,20,0,11,0,0,0
2019-02-01,0,21,50,0,10,0,1,0
2019-02-01,0,40,50,0,10,0,1,0
2019-02-01,0,17,40,0,9,0,0,0
2019-02-01,0,16,50,0,5,0,0,0
2019-02-01,0,39,7,0,7,0,0,0
2019-02-01,0,41,98,0,7,0,7,0
2019-02-01,0,31,40,0,6,0,0,0
2019-02-01,0,32,295,0,4,0,5,0
2019-02-01,0,27,20,0,5,0,0,0
2019-02-01,0,42,30,0,5,0,3,0
2019-02-01,0,23,200,0,5,0,2,0
2019-02-01,0,43,30,0,5,0,1,0
2019-02-01,0,44,60,0,5,0,0,0
2019-02-01,0,62,30,0,1,0,0,0
2019-02-01,0,45,4,0,4,0,3,0
2019-02-01,0,46,50,0,4,0,2,0
2019-02-01,0,50,60,0,2,0,3,0
2019-02-01,0,51,8,0,3,0,0,0
2019-02-01,0,48,20,0,2,0,0,0
2019-02-01,0,49,20,0,2,0,0,0
2019-02-01,0,52,10,0,1,0,0,0
2019-02-01,0,33,28,0,1,0,0,0
2019-02-01,0,57,8,0,2,0,0,1
2019-02-01,0,26,18,0,1,0,0,0
2019-02-01,0,53,3,0,3,0,0,1
2019-02-01,0,54,5,0,2,1,2,0
2019-02-01,0,58,100,0,1,0,3,0
2019-02-01,0,59,10,0,1,0,6,0
2019-02-01,0,60,20,0,1,0,5,0
2019-02-01,0,61,3,0,1,0,5,0
2019-02-01,0,63,5,0,1,0,0,0
2019-02-01,0,20,39,0,10,1,5,0
2019-02-01,0,35,8,0,0,0,3,3
2019-02-01,0,55,0,0,0,0,2,0
2019-02-01,0,56,1,0,1,0,0,0
2019-02-01,0,65,5,0,1,0,0,0
2019-02-01,0,66,25,0,1,0,5,0
2019-03-01,1,0,340,0,118,72,23,21
2019-03-01,1,1,204,204,141,76,12,8
2019-03-01,1,2,30,0,10,0,0,0
2019-03-01,1,3,13,0,11,9,0,0
2019-03-01,1,4,240,0,213,143,32,32
2019-03-01,1,5,71,71,71,71,20,20
